name,travelled,price,Location,year,company
Royal Enfield Classic 350 ,0,210000,Kolkata,2023,Royal
Yamaha FZ S ,34500,65000,Gurgaon,2018,Yamaha
Honda Activa 5G ,9500,23500,NaviMumbai,2021,Honda
Honda Activa 5G ,11500,16500,Pune,2018,Honda
Honda Activa 5G ,11000,25500,Mumbai,2021,Honda
TVS Jupiter ,9000,25000,Chennai,2020,TVS
Honda Activa 5G ,10000,21500,Hyderabad,2020,Honda
Royal Enfield Meteor 350 Supernova ,8000,195000,Mumbai,2022,Royal
BMW G 310RR ,650,300000,Bangalore,2021,BMW
Royal Enfield Classic 350 ,30000,150000,Pune,2017,Royal
LML Piaggio Vespa ,25000,45000,Ghaziabad,2019,LML
Royal Enfield Classic 350 ,15638,185000,Guwahati,2020,Royal
Honda Activa 5G ,11500,23500,Bangalore,2021,Honda
Honda Dio ,13400,24000,Chennai,2019,Honda
Honda Activa 5G ,11500,16500,Ghaziabad,2018,Honda
Honda Activa 5G ,10500,16500,Delhi,2018,Honda
Honda Dream Neo ,34000,55000,Banda,2019,Honda
Suzuki Gixxer ,38000,35000,Mumbai,2015,Suzuki
Bajaj Avenger Cruise 220 ,10000,80000,Bangalore,2017,Bajaj
Royal Enfield Bullet Electra ,35000,80000,Hyderabad,2016,Royal
Hero Optima ,180,60000,Bangalore,2022,Hero
Royal Enfield Interceptor 650 ,8700,350000,Bangalore,2022,Royal
Benelli TNT 300 ,16700,275000,Bangalore,2020,Benelli
Hero Splendor NXG ,68000,33000,Bangalore,2009,Hero
Honda Activa 5G ,11500,16500,Lucknow,2018,Honda
Honda Activa 125 ,11500,15500,Pune,2018,Honda
Honda CB Unicorn ,46307,49999,Kolhapur,2012,Honda
Suzuki Fiero ,76000,33000,Bangalore,2002,Suzuki
Bajaj Pulsar 200 NS ,23800,95000,Erode,2019,Bajaj
Hero CBZ Xtreme ,26000,48000,Betul,2012,Hero
Yamaha RX 135 ,380,210000,Chennai,1998,Yamaha
Suzuki Gixxer SF ,2000,88000,Varanasi,2017,Suzuki
Bajaj Dominar 400 ,17400,135000,Delhi,2018,Bajaj
Honda Activa ,70000,37551,Noida,2014,Honda
Honda CB Shine ,7265,85000,Bangalore,2020,Honda
Benelli TNT 25 ,15900,180000,Bangalore,2016,Benelli
Honda CB300R ,3500,280000,Chennai,2022,Honda
Royal Enfield Thunderbird 350X ,7300,153000,Bangalore,2018,Royal
Royal Enfield Thunderbird 350 ,60000,85000,Mumbai,2016,Royal
